id,name,followers,uri,total_tracks,track_id,track_index,user_id
02a3kVyPv7SYkbvyWUXbuM,Desi DJ,0,spotify:user:31o66mzzvp2yd736slsliur6e76u:playlist:02a3kVyPv7SYkbvyWUXbuM,2,1sYgVmGPJf5zDSjgtz13Bm,1,31o66mzzvp2yd736slsliur6e76u
02a3kVyPv7SYkbvyWUXbuM,Desi DJ,0,spotify:user:31o66mzzvp2yd736slsliur6e76u:playlist:02a3kVyPv7SYkbvyWUXbuM,2,4w7q3bB6g6uuZyA4W9VajR,2,31o66mzzvp2yd736slsliur6e76u
02a7aM94dXjp6hOUEWYNNd,chalga,0,spotify:user:21kugdivs2373javbnru22xny:playlist:02a7aM94dXjp6hOUEWYNNd,2,3JPlvQrRzgpZlIQoGVjarJ,1,21kugdivs2373javbnru22xny
02a7aM94dXjp6hOUEWYNNd,chalga,0,spotify:user:21kugdivs2373javbnru22xny:playlist:02a7aM94dXjp6hOUEWYNNd,2,7KUlb3z8xHiDhdDdy1YAj5,2,21kugdivs2373javbnru22xny
02e0Oku8f3mtNo5ceNph3A,Wifey Riddim,0,spotify:user:1113811431:playlist:02e0Oku8f3mtNo5ceNph3A,2,3OR8GVakIXV3KXnOyu0EaB,1,1113811431
02e0Oku8f3mtNo5ceNph3A,Wifey Riddim,0,spotify:user:1113811431:playlist:02e0Oku8f3mtNo5ceNph3A,2,3OR8GVakIXV3KXnOyu0EaB,1,1113811431
02e0Oku8f3mtNo5ceNph3A,Wifey Riddim,0,spotify:user:1113811431:playlist:02e0Oku8f3mtNo5ceNph3A,2,3xEq9VX1OAxeiaryBwZAX5,2,1113811431
02jf9pxcMw1tTSmBAG5YCQ,Redneck Woman,0,spotify:user:22imqf753gxbm7bvxzix3dt3i:playlist:02jf9pxcMw1tTSmBAG5YCQ,2,26bL4gSULWDgdIMX0pRFrG,1,22imqf753gxbm7bvxzix3dt3i
02jf9pxcMw1tTSmBAG5YCQ,Redneck Woman,0,spotify:user:22imqf753gxbm7bvxzix3dt3i:playlist:02jf9pxcMw1tTSmBAG5YCQ,2,4vQYFz6OWSuzba7UeTyye2,2,22imqf753gxbm7bvxzix3dt3i
02kOckzXpXWzEY3nMCnqpe,????ASMR????,0,spotify:user:1163381804:playlist:02kOckzXpXWzEY3nMCnqpe,2,3MbBsKSF1GuBdFXBUbw2pM,1,1163381804
02kOckzXpXWzEY3nMCnqpe,????ASMR????,0,spotify:user:1163381804:playlist:02kOckzXpXWzEY3nMCnqpe,2,3VDags0na6nY1gBjCt2e8v,2,1163381804
02kOckzXpXWzEY3nMCnqpe,????ASMR????,0,spotify:user:1163381804:playlist:02kOckzXpXWzEY3nMCnqpe,2,3VDags0na6nY1gBjCt2e8v,2,1163381804
02pQR91N551cXKg9ar8Miq,Idols,0,spotify:user:22x3y62vox6asr4qmvgtlkj5y:playlist:02pQR91N551cXKg9ar8Miq,2,5M4sV5cBD6c9VL7VQ8fkws,1,22x3y62vox6asr4qmvgtlkj5y
02pQR91N551cXKg9ar8Miq,Idols,0,spotify:user:22x3y62vox6asr4qmvgtlkj5y:playlist:02pQR91N551cXKg9ar8Miq,2,77gIVcVjfWFbYfT4UL734k,2,22x3y62vox6asr4qmvgtlkj5y
02pwkGGjvMbsGfgcTfJqCu,Doo Wop (That Thing),0,spotify:user:mandyc126:playlist:02pwkGGjvMbsGfgcTfJqCu,2,0uEp9E98JB5awlA084uaIg,1,mandyc126
02pwkGGjvMbsGfgcTfJqCu,Doo Wop (That Thing),0,spotify:user:mandyc126:playlist:02pwkGGjvMbsGfgcTfJqCu,2,6ich2xMH5AR39V85miIAN8,2,mandyc126
02tKy40sc58W7poUKvbCNh,Pixies,0,spotify:user:cjmelvinissatan:playlist:02tKy40sc58W7poUKvbCNh,2,2Aqc48sn8He26hmTvQ2BMj,1,cjmelvinissatan
02tKy40sc58W7poUKvbCNh,Pixies,0,spotify:user:cjmelvinissatan:playlist:02tKy40sc58W7poUKvbCNh,2,6mcxQ1Y3uQRU0IHsvdNLH1,2,cjmelvinissatan
02uZl2u2mBNr3foPOwKOLp,girl groups,0,spotify:user:1223449691:playlist:02uZl2u2mBNr3foPOwKOLp,2,0hfHaMcvf3bMqYvMCdwwOH,1,1223449691
02uZl2u2mBNr3foPOwKOLp,girl groups,0,spotify:user:1223449691:playlist:02uZl2u2mBNr3foPOwKOLp,2,5gbnpPSUFVrvwKFtlb2GNj,2,1223449691
02v5RdsTeYHYK5DT8ixRXd,New Beat,0,spotify:user:1243472449:playlist:02v5RdsTeYHYK5DT8ixRXd,2,3B7xeHyUY0ClCKAmeKNH1E,1,1243472449
02v5RdsTeYHYK5DT8ixRXd,New Beat,0,spotify:user:1243472449:playlist:02v5RdsTeYHYK5DT8ixRXd,2,4n6z0yh2ZpoGh0RNyGVu52,2,1243472449
02vs4LA8ey9mNzbd5jKPxi,idol,3,spotify:user:21rqlqmgc5rfiur76bcmlovyi:playlist:02vs4LA8ey9mNzbd5jKPxi,2,2AIWoHr9DF6y4KALCBKWQS,1,21rqlqmgc5rfiur76bcmlovyi
02vs4LA8ey9mNzbd5jKPxi,idol,3,spotify:user:21rqlqmgc5rfiur76bcmlovyi:playlist:02vs4LA8ey9mNzbd5jKPxi,2,4TiKZrN7gtc62SUiufpFCM,2,21rqlqmgc5rfiur76bcmlovyi
02ZaAx4pGbM3MxMekoMCgD,fusion jazz yo,0,spotify:user:sniperees:playlist:02ZaAx4pGbM3MxMekoMCgD,1,2AAYRcKLszQsAY7yQmEXwa,1,sniperees
0309T3bfL3uUzAXaTrMklT,Dembow,0,spotify:user:m20ihgdl1ots9kl6m4orugq7j:playlist:0309T3bfL3uUzAXaTrMklT,1,2VWbHHhWnMzKWPUs4IEEW9,1,m20ihgdl1ots9kl6m4orugq7j
038PUr0VPpdZFTpJvG80Fx,Blues Modern,0,spotify:user:2157tnfcjqptx3yan3mfk5diy:playlist:038PUr0VPpdZFTpJvG80Fx,2,1Mtwi6CmEHxkZvsNWR9qVE,1,2157tnfcjqptx3yan3mfk5diy
038PUr0VPpdZFTpJvG80Fx,Blues Modern,0,spotify:user:2157tnfcjqptx3yan3mfk5diy:playlist:038PUr0VPpdZFTpJvG80Fx,2,6b8nz7zFlAeNACOA1lVYG7,2,2157tnfcjqptx3yan3mfk5diy
