track_id,track_name,track_duration,track_popularity,track_explicit,track_preview_url,track_uri,track_index,album_id,album_name,album_uri,artist_name,artist_uri,artist_id
2mkMYftaI5pGMXGWEwtJtb,La Sombra de Tu Sonrisa,160927,0.0,0,https://p.scdn.co/mp3-preview/7866f68d165ea426f58f4ddaa90dc62baa157a26?cid=3a92d2228be14bb3bec25737fbe6a89d,spotify:track:2mkMYftaI5pGMXGWEwtJtb,1,7gju01Q2aifrANoqUlY0gY,"Lo Maravilloso del Ayer, Vol. 6",spotify:album:7gju01Q2aifrANoqUlY0gY,Pacho Galan,spotify:artist:6Nmq3E7vqOXFszApTsZ2Zn,6Nmq3E7vqOXFszApTsZ2Zn
35FJIXX8h7u9ApGAMoFzWY,La Guirnalda,246826,44.0,0,https://p.scdn.co/mp3-preview/65e487a4ae0ab3c2cd8c3b3d769c8d8ede624d45?cid=17082d21fb854b7a949131af8dd6a181,spotify:track:35FJIXX8h7u9ApGAMoFzWY,2,1hvkChT8svwpuA5b5v8Ksr,Siempre,spotify:album:1hvkChT8svwpuA5b5v8Ksr,Rocío Dúrcal,spotify:artist:2uyweLa0mvPZH6eRzDddeB,2uyweLa0mvPZH6eRzDddeB
5w8y8XWqYoP5HaHSPZHxeA,Don't Stop (Kultür and Jan-B Remix),384280,4.0,0,https://p.scdn.co/mp3-preview/8db411c7026cba5e910aff239f3a8e6b9590aaee?cid=3a92d2228be14bb3bec25737fbe6a89d,spotify:track:5w8y8XWqYoP5HaHSPZHxeA,1,2d2mnsSn2Cwh4xHj7L9ZIX,Beat Dis 2007 (Mixed By Kultür),spotify:album:2d2mnsSn2Cwh4xHj7L9ZIX,Jan-B,spotify:artist:2z4w7uVi6PpMKkljD9ghL8,2z4w7uVi6PpMKkljD9ghL8
5w8y8XWqYoP5HaHSPZHxeA,Don't Stop (Kultür and Jan-B Remix),384280,4.0,0,https://p.scdn.co/mp3-preview/8db411c7026cba5e910aff239f3a8e6b9590aaee?cid=3a92d2228be14bb3bec25737fbe6a89d,spotify:track:5w8y8XWqYoP5HaHSPZHxeA,1,2d2mnsSn2Cwh4xHj7L9ZIX,Beat Dis 2007 (Mixed By Kultür),spotify:album:2d2mnsSn2Cwh4xHj7L9ZIX,Kültur,spotify:artist:4u31MNRTYJxq85i5yMzNrl,4u31MNRTYJxq85i5yMzNrl
6XU1Wg5IrngFk2oyYPvoZ4,Crystal - Colombo Remix,345440,0.0,0,https://p.scdn.co/mp3-preview/05afce83794d9f8c2a9d4bb491e3f7fc26e13d02?cid=17082d21fb854b7a949131af8dd6a181,spotify:track:6XU1Wg5IrngFk2oyYPvoZ4,2,5S5mxLshEP6tuzi8RWO6G6,Crystal Ep,spotify:album:5S5mxLshEP6tuzi8RWO6G6,Kemtrails,spotify:artist:05O3WiP27IUc87gh8CWCqn,05O3WiP27IUc87gh8CWCqn
6XU1Wg5IrngFk2oyYPvoZ4,Crystal - Colombo Remix,345440,0.0,0,https://p.scdn.co/mp3-preview/05afce83794d9f8c2a9d4bb491e3f7fc26e13d02?cid=17082d21fb854b7a949131af8dd6a181,spotify:track:6XU1Wg5IrngFk2oyYPvoZ4,2,5S5mxLshEP6tuzi8RWO6G6,Crystal Ep,spotify:album:5S5mxLshEP6tuzi8RWO6G6,Colombo,spotify:artist:1uC76chleTUP8dtQ4AaXwI,1uC76chleTUP8dtQ4AaXwI
1rtYGowPGXV17ioj8nwCd3,"Country Roads (From the ""Fallout 76"" Teaser Trailer) [Recreated Version]",132073,58.0,0,https://p.scdn.co/mp3-preview/7e76eb3773d56c825cab2a2ac9e5f9b08ca28537?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:1rtYGowPGXV17ioj8nwCd3,1,4dYOXQZHwHNae5or04jx4h,"Country Roads (From the ""Fallout 76"" Teaser Trailer) [Recreated Version]",spotify:album:4dYOXQZHwHNae5or04jx4h,Baltic House Orchestra,spotify:artist:3ePD9fcUe4xY18t2do765D,3ePD9fcUe4xY18t2do765D
2xYlyywNgefLCRDG8hlxZq,"Take Me Home, Country Roads - Rerecorded",197813,77.0,0,https://p.scdn.co/mp3-preview/ec43998cba1a71480be11c069a68197db2c75928?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:2xYlyywNgefLCRDG8hlxZq,2,5erROp1lRW31aNxj9PbAUf,"The John Denver Collection, Vol. 1: Take Me Home Country Roads",spotify:album:5erROp1lRW31aNxj9PbAUf,John Denver,spotify:artist:7EK1bQADBoqbYXnT4Cqv9w,7EK1bQADBoqbYXnT4Cqv9w
1Mw4JiiSl5EuE7SYfc5Vks,Hangimiz Sevmedik,234533,53.0,0,https://p.scdn.co/mp3-preview/d8978a7f471f4f27bbe40461ec88731e7e97a60a?cid=d8dea22fde1f4eb7a0ac6d5c2071800e,spotify:track:1Mw4JiiSl5EuE7SYfc5Vks,1,104zYaJUOI9EVR0Fp4yfiB,Senden Vazgeçmem,spotify:album:104zYaJUOI9EVR0Fp4yfiB,Müslüm Gürses,spotify:artist:4cMwyqmHCwJjRZ3frIVHTr,4cMwyqmHCwJjRZ3frIVHTr
726JFrBuSqQ1CN0OH1Fztp,Sana Kalbim Geçti,242823,13.0,0,https://p.scdn.co/mp3-preview/405890024bd669936fb67ce326fe0ad842eaf286?cid=17082d21fb854b7a949131af8dd6a181,spotify:track:726JFrBuSqQ1CN0OH1Fztp,2,6MEaH36lQ7RLZm19tFyD1d,Ben Sevmezsem Ölürüm,spotify:album:6MEaH36lQ7RLZm19tFyD1d,?nci Mercan,spotify:artist:4Y6Brsb1x5inun1mJ63SXl,4Y6Brsb1x5inun1mJ63SXl
